step,eval_avg_return,alpha,seed,total_steps,random_steps,replay_capacity,batch_size,eval_freq,eval_episodes,fixed_alpha,hover_reward_initial,hover_switch_step,hover_reward_after_switch,reward_phase
0,-111.13208541890693,1.0,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
5000,-111.13208541890693,1.0,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
10000,-96.90085499685752,0.9997000694274902,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
15000,-80.4126498011959,0.26556962728500366,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
20000,79.10891472304989,0.09427229315042496,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
25000,62.68114173231906,0.08355770260095596,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
30000,182.82668251440884,0.10832079499959946,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
35000,136.7367251864302,0.11451675742864609,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
40000,236.7855845715324,0.12194424867630005,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
45000,241.91287025536326,0.12376747280359268,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
50000,139.27283810362593,0.12079685181379318,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
55000,185.1868427721003,0.1377890408039093,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
60000,104.78643009373802,0.11887074261903763,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
65000,109.79593729136779,0.13222646713256836,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
70000,175.25628291067375,0.13951502740383148,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
75000,176.5638349088675,0.13360252976417542,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
80000,261.6349296513531,0.13960213959217072,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
85000,268.54420807483643,0.13789649307727814,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
90000,132.4555329727605,0.13195578753948212,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
95000,324.19573800402236,0.12311649322509766,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
100000,336.05622272816066,0.12239193171262741,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
105000,383.09838114430374,0.12084901332855225,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
110000,421.8097167625013,0.12848861515522003,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
115000,456.4013064878545,0.1293977051973343,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
120000,368.8236960840434,0.12020415812730789,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
125000,434.241224815059,0.12705785036087036,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
130000,447.73742123425575,0.12202722579240799,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
135000,428.6526029847535,0.1283591389656067,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
140000,437.0951548932124,0.1284816414117813,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
145000,453.9509030157054,0.132181778550148,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
150000,450.4677640623298,0.1327856183052063,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
155000,451.53001760373917,0.12675897777080536,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
160000,438.42071943523115,0.1247047409415245,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
165000,465.55677187029806,0.11072461307048798,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
170000,448.94234465170103,0.10347077995538712,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
175000,419.488182665248,0.10843756049871445,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
180000,88.90600649072333,0.11123412102460861,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
185000,465.09330656670306,0.10782234370708466,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
190000,468.9686353517817,0.09861467033624649,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
195000,450.678707776415,0.09132808446884155,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
200000,462.3470578889518,0.07942128926515579,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
205000,466.56680691862147,0.08849206566810608,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
210000,467.1125384581317,0.09455104917287827,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
215000,465.2414624017605,0.09039146453142166,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
220000,465.26177564736224,0.08857449144124985,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
225000,470.14600462092596,0.08551764488220215,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
230000,469.6551592826768,0.08492409437894821,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
235000,476.1039235726377,0.08592464029788971,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
240000,473.6301884957872,0.08260484784841537,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
245000,473.21516913382266,0.07500981539487839,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
250000,475.42775672105046,0.07629944384098053,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,after_switch
255000,452.2898625693841,0.07009796798229218,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,after_switch
260000,467.51239154361963,0.07955262064933777,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,after_switch
265000,416.40453396229424,0.09011431038379669,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,after_switch
270000,474.7025396422863,0.0841280072927475,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,after_switch
275000,68.5722117576363,0.08904306590557098,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,after_switch
280000,470.2853727671205,0.09968028962612152,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,after_switch
285000,454.0856095989807,0.09401347488164902,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,after_switch
290000,76.23927865765572,0.09249698370695114,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,after_switch
295000,343.68753840514773,0.09537506103515625,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,after_switch
300000,434.1833457766742,0.0918688103556633,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,after_switch
305000,477.190251299813,0.09947124868631363,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,after_switch
310000,467.98869785585265,0.11362119019031525,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,after_switch
315000,478.35588998538117,0.12673117220401764,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,after_switch
320000,456.33530629373047,0.12090613692998886,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,after_switch
325000,470.6527014989788,0.12873055040836334,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,after_switch
330000,458.42725981664523,0.12953944504261017,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,after_switch
335000,407.7762765964903,0.1302678883075714,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,after_switch
340000,107.79918072227841,0.1262829750776291,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,after_switch
345000,78.96808366515378,0.1286194920539856,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,after_switch
350000,448.0001276647448,0.12230267375707626,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,after_switch
355000,384.97168330182177,0.0981069803237915,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,after_switch
360000,295.4986484131975,0.0903811827301979,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,after_switch
365000,239.20283313830996,0.07798106223344803,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,after_switch
370000,91.70802565978487,0.07480413466691971,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,after_switch
375000,392.4330481547205,0.06769146025180817,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,after_switch
380000,391.63863296344243,0.06954164803028107,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,after_switch
385000,397.70457448587155,0.0691782757639885,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,after_switch
390000,347.5544894768534,0.05630314722657204,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,after_switch
395000,370.5785297363964,0.06039781868457794,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,after_switch
400000,285.6731348817724,0.05726024881005287,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,after_switch
405000,315.4035170265437,0.05510348081588745,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,after_switch
410000,307.99131659334546,0.05737027898430824,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,after_switch
415000,328.1251655295715,0.06248137727379799,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,after_switch
420000,376.7933442392419,0.06914488226175308,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,after_switch
425000,279.88799607573935,0.06321553885936737,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,after_switch
430000,279.9544225421475,0.06624981760978699,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,after_switch
435000,362.8009908285246,0.06478247791528702,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,after_switch
440000,347.5594804487917,0.0654914453625679,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,after_switch
445000,305.1900964106691,0.06783757358789444,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,after_switch
450000,331.10591184697614,0.06326897442340851,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,after_switch
455000,343.965190247662,0.06596669554710388,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,after_switch
460000,247.74296128051546,0.058342959731817245,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,after_switch
465000,352.7113783616743,0.055429019033908844,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,after_switch
470000,273.62179386082823,0.05949293449521065,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,after_switch
475000,244.50450195846366,0.05830000713467598,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,after_switch
480000,351.09266744198965,0.055046651512384415,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,after_switch
485000,289.3412973607045,0.055171310901641846,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,after_switch
490000,355.7257187050436,0.05235258489847183,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,after_switch
495000,356.0254681676638,0.04871288314461708,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,after_switch
500000,380.07638152768664,0.05446355789899826,13,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,after_switch
