step,eval_avg_return,alpha,seed,total_steps,random_steps,replay_capacity,batch_size,eval_freq,eval_episodes,fixed_alpha,hover_reward_initial,hover_switch_step,hover_reward_after_switch,reward_phase
0,-338.47034776932117,1.0,1,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
5000,-338.47034776932117,1.0,1,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
10000,-337.67011256392186,0.9997000694274902,1,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
15000,226.62991236857266,0.27530813217163086,1,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
20000,164.56362011733185,0.14065001904964447,1,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
25000,39.79143943540724,0.1190914437174797,1,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
30000,38.935240579031365,0.11994810402393341,1,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
35000,103.14416222446194,0.13614879548549652,1,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
40000,178.5927721688821,0.1377551406621933,1,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
45000,172.16517152047103,0.1339855194091797,1,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
50000,121.32715567560714,0.15353184938430786,1,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
55000,272.37614614195553,0.14632993936538696,1,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
60000,245.36597325173847,0.12493996322154999,1,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
65000,226.69044694669623,0.138934925198555,1,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
70000,277.2121556050508,0.13285817205905914,1,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
75000,326.71963816852985,0.13556021451950073,1,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
80000,278.0321350738304,0.1365613043308258,1,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
85000,240.35268617370184,0.13847005367279053,1,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
90000,314.1540942605216,0.14822840690612793,1,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
95000,415.3614475760966,0.13504892587661743,1,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
100000,394.77995773192004,0.14592508971691132,1,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
105000,430.1414051131337,0.13677255809307098,1,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
110000,447.20850097535623,0.13574500381946564,1,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
115000,361.59904344148015,0.12989266216754913,1,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
120000,348.04161645971544,0.13033612072467804,1,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
125000,442.61937538381153,0.12626045942306519,1,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
130000,456.9479384790528,0.11900915950536728,1,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
135000,434.99332564986145,0.12794476747512817,1,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
140000,443.10191329783027,0.12916699051856995,1,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
145000,407.0904728167926,0.1314326673746109,1,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
150000,433.66022196787753,0.1186676025390625,1,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
155000,445.67448722592974,0.11234775185585022,1,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
160000,442.16309823299923,0.10751445591449738,1,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
165000,470.5638711013906,0.09841138869524002,1,500000,10000,100000,256,5000,10,,200.0,250000,-100.0,before_switch
